lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
,,,829,-88.91009521484375,0.22270633280277252,0.5823795199394226,1
0.0005,0.0005,0.0005,834,,,,
,,,834,-98.62671661376953,0.2248828262090683,0.5961704850196838,1
0.0005,0.0005,0.0005,839,,,,
,,,839,-113.36502075195312,0.23081588745117188,0.5916037559509277,1
0.0005,0.0005,0.0005,844,,,,
,,,844,-91.53028106689453,0.22950316965579987,0.5879554748535156,1
0.0005,0.0005,0.0005,849,,,,
,,,849,-106.53309631347656,0.22471924126148224,0.5718396306037903,1
0.0005,0.0005,0.0005,854,,,,
,,,854,-118.30531311035156,0.22016946971416473,0.5781798958778381,1
0.0005,0.0005,0.0005,859,,,,
,,,859,-72.58197784423828,0.2314518243074417,0.603883683681488,1
0.0005,0.0005,0.0005,864,,,,
,,,864,-141.08050537109375,0.2163228988647461,0.5748931169509888,2
0.0005,0.0005,0.0005,869,,,,
,,,869,-77.09833526611328,0.2312421351671219,0.5916721820831299,2
0.0005,0.0005,0.0005,874,,,,
,,,874,-125.08000946044922,0.2323392629623413,0.5860950946807861,2
0.0005,0.0005,0.0005,879,,,,
,,,879,-131.32559204101562,0.21870096027851105,0.585162878036499,2
0.0005,0.0005,0.0005,884,,,,
,,,884,-95.468994140625,0.22844071686267853,0.5967596173286438,2
0.0005,0.0005,0.0005,889,,,,
,,,889,-99.08277130126953,0.22567667067050934,0.5937962532043457,2
0.0005,0.0005,0.0005,894,,,,
,,,894,-114.29757690429688,0.22051601111888885,0.5896258354187012,2
0.0005,0.0005,0.0005,899,,,,
,,,899,-114.70146942138672,0.21681898832321167,0.5798341631889343,2
0.0005,0.0005,0.0005,904,,,,
,,,904,-66.0918960571289,0.23228555917739868,0.5930420756340027,2
0.0005,0.0005,0.0005,909,,,,
,,,909,-100.01525115966797,0.2265121340751648,0.5801284313201904,2
0.0005,0.0005,0.0005,914,,,,
,,,914,-153.4866943359375,0.21791215240955353,0.5780174136161804,2
0.0005,0.0005,0.0005,919,,,,
,,,919,-159.181396484375,0.2180788516998291,0.5800826549530029,2
0.0005,0.0005,0.0005,924,,,,
,,,924,-138.9664764404297,0.21357212960720062,0.5727907419204712,2
0.0005,0.0005,0.0005,929,,,,
,,,929,-96.48016357421875,0.22986909747123718,0.5941648483276367,2
0.0005,0.0005,0.0005,934,,,,
,,,934,-95.03961944580078,0.23016692698001862,0.5955343246459961,2
0.0005,0.0005,0.0005,939,,,,
,,,939,-126.39263916015625,0.22567814588546753,0.5941221117973328,2
0.0005,0.0005,0.0005,944,,,,
,,,944,-74.79705810546875,0.23549555242061615,0.5987793803215027,2
0.0005,0.0005,0.0005,949,,,,
,,,949,-29.189266204833984,0.22494012117385864,0.5883824229240417,2
0.0005,0.0005,0.0005,954,,,,
,,,954,-90.42122650146484,0.22796986997127533,0.5872788429260254,2
0.0005,0.0005,0.0005,959,,,,
,,,959,-155.83551025390625,0.22020085155963898,0.5918625593185425,2
0.0005,0.0005,0.0005,964,,,,
,,,964,-95.19413757324219,0.23391659557819366,0.6003393530845642,2
0.0005,0.0005,0.0005,969,,,,
,,,969,-171.81729125976562,0.2167038768529892,0.5805485844612122,2
0.0005,0.0005,0.0005,974,,,,
,,,974,-131.35943603515625,0.21919655799865723,0.5904352068901062,2
0.0005,0.0005,0.0005,979,,,,
,,,979,-114.3921127319336,0.22521676123142242,0.5761408805847168,2
0.0005,0.0005,0.0005,984,,,,
,,,984,-109.31611633300781,0.22629304230213165,0.6024200916290283,2
0.0005,0.0005,0.0005,989,,,,
,,,989,-130.69566345214844,0.22336986660957336,0.5901886820793152,2
0.0005,0.0005,0.0005,994,,,,
,,,994,-135.68167114257812,0.2204432636499405,0.586879312992096,2
0.0005,0.0005,0.0005,999,,,,
,,,999,-94.93770599365234,0.22563914954662323,0.5942701101303101,2
0.0005,0.0005,0.0005,1004,,,,
,,,1004,-131.3695068359375,0.22613093256950378,0.594618558883667,2
0.0005,0.0005,0.0005,1009,,,,
,,,1009,-89.76879119873047,0.22966556251049042,0.5968189835548401,2
0.0005,0.0005,0.0005,1014,,,,
,,,1014,-150.8302459716797,0.2100735753774643,0.5835909247398376,2
0.0005,0.0005,0.0005,1019,,,,
,,,1019,-124.04100036621094,0.22305864095687866,0.5963184833526611,2
0.0005,0.0005,0.0005,1024,,,,
,,,1024,-98.75201416015625,0.22520993649959564,0.5958483815193176,2
0.0005,0.0005,0.0005,1029,,,,
,,,1029,-45.25334930419922,0.23145441710948944,0.6022828817367554,2
0.0005,0.0005,0.0005,1034,,,,
,,,1034,-177.1975555419922,0.20539015531539917,0.5748425126075745,2
0.0005,0.0005,0.0005,1039,,,,
,,,1039,-112.18586730957031,0.21923847496509552,0.5830582976341248,2
0.0005,0.0005,0.0005,1044,,,,
,,,1044,-112.68843078613281,0.2254641056060791,0.5900673270225525,2
0.0005,0.0005,0.0005,1049,,,,
,,,1049,-46.6824951171875,0.2305232435464859,0.6119360327720642,2
0.0005,0.0005,0.0005,1054,,,,
,,,1054,-141.49925231933594,0.21335959434509277,0.5732033252716064,2
0.0005,0.0005,0.0005,1059,,,,
,,,1059,-71.06752014160156,0.22286251187324524,0.5918677449226379,2
0.0005,0.0005,0.0005,1064,,,,
,,,1064,-129.2560272216797,0.21902696788311005,0.577409029006958,2
0.0005,0.0005,0.0005,1069,,,,
,,,1069,-131.22018432617188,0.21687836945056915,0.5774609446525574,2
0.0005,0.0005,0.0005,1074,,,,
,,,1074,-79.7752456665039,0.22577083110809326,0.595564067363739,2
0.0005,0.0005,0.0005,1079,,,,
,,,1079,-73.171630859375,0.2277378886938095,0.6008385419845581,2
0.0005,0.0005,0.0005,1084,,,,
,,,1084,-132.241455078125,0.21898837387561798,0.589429497718811,2
0.0005,0.0005,0.0005,1089,,,,
,,,1089,-135.2019805908203,0.22223150730133057,0.5913389921188354,2
0.0005,0.0005,0.0005,1094,,,,
,,,1094,-109.18343353271484,0.22361458837985992,0.5923589468002319,2
0.0005,0.0005,0.0005,1099,,,,
,,,1099,-108.24208068847656,0.21663857996463776,0.5907416343688965,2
0.0005,0.0005,0.0005,1104,,,,
,,,1104,-81.5456771850586,0.22910386323928833,0.6062390208244324,2
0.0005,0.0005,0.0005,1109,,,,
,,,1109,-121.12236785888672,0.22242814302444458,0.5856619477272034,2
0.0005,0.0005,0.0005,1114,,,,
,,,1114,-130.9211883544922,0.21704120934009552,0.5842656493186951,2
0.0005,0.0005,0.0005,1119,,,,
,,,1119,-37.02116394042969,0.23008881509304047,0.5915479063987732,2
0.0005,0.0005,0.0005,1124,,,,
,,,1124,-141.56292724609375,0.21746309101581573,0.5776218771934509,2
0.0005,0.0005,0.0005,1129,,,,
,,,1129,-151.90081787109375,0.21473415195941925,0.5777627229690552,2
0.0005,0.0005,0.0005,1134,,,,
,,,1134,-87.0603256225586,0.2233871966600418,0.5905524492263794,2
0.0005,0.0005,0.0005,1139,,,,
,,,1139,-132.76866149902344,0.22109808027744293,0.5841062068939209,2
0.0005,0.0005,0.0005,1144,,,,
,,,1144,-54.4062614440918,0.2241837978363037,0.5855610370635986,2
0.0005,0.0005,0.0005,1149,,,,
,,,1149,-77.70803833007812,0.22902995347976685,0.6011298298835754,2
0.0005,0.0005,0.0005,1154,,,,
,,,1154,-110.8526611328125,0.23021019995212555,0.5948122143745422,2
0.0005,0.0005,0.0005,1159,,,,
,,,1159,-154.49273681640625,0.21856534481048584,0.5823728442192078,2
0.0005,0.0005,0.0005,1164,,,,
,,,1164,-150.8936309814453,0.21921426057815552,0.5969076156616211,2
0.0005,0.0005,0.0005,1169,,,,
,,,1169,-89.00054168701172,0.2199455201625824,0.5858446359634399,2
0.0005,0.0005,0.0005,1174,,,,
,,,1174,-73.81944274902344,0.22385463118553162,0.5947239995002747,2
0.0005,0.0005,0.0005,1179,,,,
,,,1179,-122.99405670166016,0.21614646911621094,0.5829856991767883,2
0.0005,0.0005,0.0005,1184,,,,
,,,1184,-105.24430847167969,0.22412730753421783,0.5935300588607788,2
0.0005,0.0005,0.0005,1189,,,,
,,,1189,-121.29480743408203,0.22673054039478302,0.5982556939125061,2
0.0005,0.0005,0.0005,1194,,,,
,,,1194,-108.33939361572266,0.22399330139160156,0.5851268172264099,2
0.0005,0.0005,0.0005,1199,,,,
,,,1199,-83.57611083984375,0.21688418090343475,0.5753926038742065,2
0.0005,0.0005,0.0005,1204,,,,
,,,1204,-42.217689514160156,0.22905521094799042,0.5973005294799805,2
0.0005,0.0005,0.0005,1209,,,,
,,,1209,-142.68035888671875,0.21519315242767334,0.5774468183517456,2
0.0005,0.0005,0.0005,1214,,,,
,,,1214,-153.36676025390625,0.21633903682231903,0.5748685598373413,2
0.0005,0.0005,0.0005,1219,,,,
,,,1219,-104.42452239990234,0.22176894545555115,0.5897819995880127,2
0.0005,0.0005,0.0005,1224,,,,
