lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
,,,649,-161.00559997558594,0.21986599266529083,0.5573886632919312,1
0.0005,0.0005,0.0005,654,,,,
,,,654,-92.30389404296875,0.23528417944908142,0.5777714252471924,1
0.0005,0.0005,0.0005,659,,,,
,,,659,10.066224098205566,0.2462136596441269,0.5785497426986694,1
0.0005,0.0005,0.0005,664,,,,
,,,664,-102.23771667480469,0.24030017852783203,0.5862591862678528,1
0.0005,0.0005,0.0005,669,,,,
,,,669,-152.69200134277344,0.23343810439109802,0.5900890827178955,1
0.0005,0.0005,0.0005,674,,,,
,,,674,-56.993961334228516,0.24692873656749725,0.5982977151870728,1
0.0005,0.0005,0.0005,679,,,,
,,,679,-144.2154998779297,0.24383790791034698,0.6036222577095032,1
0.0005,0.0005,0.0005,684,,,,
,,,684,-125.9527587890625,0.23061344027519226,0.5826560258865356,1
0.0005,0.0005,0.0005,689,,,,
,,,689,-167.41868591308594,0.2138906568288803,0.5592610239982605,1
0.0005,0.0005,0.0005,694,,,,
,,,694,-125.11188507080078,0.22773006558418274,0.560906171798706,1
0.0005,0.0005,0.0005,699,,,,
,,,699,-135.5062713623047,0.2379230260848999,0.5804312825202942,1
0.0005,0.0005,0.0005,704,,,,
,,,704,-105.33334350585938,0.23997902870178223,0.587227463722229,1
0.0005,0.0005,0.0005,709,,,,
,,,709,-91.98623657226562,0.22412174940109253,0.5745431780815125,1
0.0005,0.0005,0.0005,714,,,,
,,,714,-84.46400451660156,0.23431581258773804,0.5782755613327026,1
0.0005,0.0005,0.0005,719,,,,
,,,719,-72.258544921875,0.2365884929895401,0.5896480083465576,1
0.0005,0.0005,0.0005,724,,,,
,,,724,-151.01727294921875,0.22530321776866913,0.5740626454353333,1
0.0005,0.0005,0.0005,729,,,,
,,,729,-81.92558288574219,0.23872637748718262,0.593678891658783,1
0.0005,0.0005,0.0005,734,,,,
,,,734,-118.98179626464844,0.23199696838855743,0.5926210880279541,1
0.0005,0.0005,0.0005,739,,,,
,,,739,-172.67185974121094,0.21914824843406677,0.5731084942817688,1
0.0005,0.0005,0.0005,744,,,,
